
2, Log => LOG:LPAREN:Expr:COMMA:Expr:RPAREN, Factor, Value, 1.0
2, Matrix => Matrix:SEMI:Vector, Factor, Value, 0.0198412698413
2, Matrix => Vector, Factor, Value, 0.980158730159
2, Matrix => Vector, Value, Matrix, 1.0
2, PostUnary => Factor, Expr, Expr, 1.0
2, PostUnary => Factor, Expr, Term, 1.0
2, PostUnary => Factor, Expr, Unary, 1.0
2, PostUnary => Factor, Exp, Unary, 1.0
2, PostUnary => Factor, Factor, Expr, 1.0
2, PostUnary => Factor, Factor, Unary, 1.0
2, PostUnary => Factor, Factor, Value, 1.0
2, PostUnary => Factor, Log, Unary, 1.0
2, PostUnary => Factor, None, Expr, 1.0
2, PostUnary => Factor, None, None, 1.0
2, PostUnary => Factor, PostUnary, Factor, 1.0
2, PostUnary => Factor, Term, Exp, 1.0
2, PostUnary => Factor, Term, Expr, 1.0
2, PostUnary => Factor, Term, Term, 1.0
2, PostUnary => Factor, Term, Unary, 1.0
2, PostUnary => Factor, Value, Log, 1.0
2, PostUnary => Factor, Value, Unary, 1.0
2, PostUnary => Factor, Vector, Expr, 1.0
2, PostUnary => Factor, Vector, Unary, 1.0
2, PostUnary => Factor, Vector, Vector, 1.0
2, Term => Exp, Exp, Exp, 0.833333333333
2, Term => Exp, Exp, Expr, 0.766233766234
2, Term => Exp, Expr, Exp, 0.666666666667
2, Term => Exp, Expr, Expr, 0.800347222222
2, Term => Exp, Expr, Term, 0.811808118081
2, Term => Exp, Exp, Term, 0.916666666667
2, Term => Exp, Factor, Exp, 1.0
2, Term => Exp, Factor, Expr, 0.811965811966
2, Term => Exp, Factor, Term, 0.774193548387
2, Term => Exp, Factor, Value, 0.870967741935
2, Term => Exp, Log, Expr, 0.659090909091
2, Term => Exp, Log, Term, 1.0
2, Term => Exp, Matrix, Vector, 0.666666666667
2, Term => Exp, None, Expr, 0.789940828402
2, Term => Exp, PostUnary, Factor, 0.787037037037
2, Term => Exp, Term, Exp, 0.883333333333
2, Term => Exp, Term, Expr, 0.792387543253
2, Term => Exp, Term, Term, 0.812244897959
2, Term => Exp, Value, Expr, 0.725
2, Term => Exp, Value, Log, 0.833333333333
2, Term => Exp, Value, Term, 0.833333333333
2, Term => Exp, Value, Vector, 0.8
2, Term => Exp, Vector, Exp, 1.0
2, Term => Exp, Vector, Expr, 0.776934749621
2, Term => Exp, Vector, Term, 0.4
2, Term => Term:SLASH:Exp, Exp, Exp, 0.166666666667
2, Term => Term:SLASH:Exp, Exp, Expr, 0.155844155844
2, Term => Term:SLASH:Exp, Expr, Exp, 0.333333333333
2, Term => Term:SLASH:Exp, Expr, Expr, 0.122395833333
2, Term => Term:SLASH:Exp, Expr, Term, 0.125461254613
2, Term => Term:SLASH:Exp, Exp, Term, 0.0833333333333
2, Term => Term:SLASH:Exp, Exp, Vector, 1.0
2, Term => Term:SLASH:Exp, Factor, Expr, 0.111111111111
2, Term => Term:SLASH:Exp, Factor, Term, 0.161290322581
2, Term => Term:SLASH:Exp, Factor, Value, 0.0967741935484
2, Term => Term:SLASH:Exp, Log, Expr, 0.204545454545
2, Term => Term:SLASH:Exp, Matrix, Vector, 0.222222222222
2, Term => Term:SLASH:Exp, None, Expr, 0.139053254438
2, Term => Term:SLASH:Exp, PostUnary, Factor, 0.138888888889
2, Term => Term:SLASH:Exp, Term, Exp, 0.0833333333333
2, Term => Term:SLASH:Exp, Term, Expr, 0.121107266436
2, Term => Term:SLASH:Exp, Term, Term, 0.118367346939
2, Term => Term:SLASH:Exp, Value, Expr, 0.2
2, Term => Term:SLASH:Exp, Value, Vector, 0.2
2, Term => Term:SLASH:Exp, Vector, Expr, 0.13808801214
2, Term => Term:SLASH:Exp, Vector, Term, 0.6
2, Term => Term:STAR:Exp, Exp, Expr, 0.0779220779221
2, Term => Term:STAR:Exp, Expr, Expr, 0.0772569444444
